GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
motointel,com.motointel.app.catalog,CatalogParser,51,463,33,47,7,65,29,31,1,19
motointel,com.motointel.app.catalog,CatalogService,331,0,8,0,55,0,23,0,19,0
motointel,com.motointel.app.catalog,CatalogScraperService,683,0,36,0,158,0,32,0,14,0
motointel,com.motointel.app.catalog,SpecValues,0,42,0,0,0,1,0,1,0,1
motointel,com.motointel.app.config,AppProperties.Scheduler,13,0,0,0,4,0,3,0,3,0
motointel,com.motointel.app.config,AppProperties.Storage,13,0,0,0,4,0,3,0,3,0
motointel,com.motointel.app.config,AppProperties.Scraper,33,0,0,0,10,0,7,0,7,0
motointel,com.motointel.app.config,WebConfig,26,0,0,0,6,0,2,0,2,0
motointel,com.motointel.app.config,WebConfig.SpaResourceResolver,40,0,10,0,8,0,7,0,2,0
motointel,com.motointel.app.config,AppProperties,61,0,0,0,16,0,11,0,11,0
motointel,com.motointel.app.config,AppProperties.Listing,23,0,0,0,7,0,5,0,5,0
motointel,com.motointel.app.imports,CsvListingParser,92,417,10,42,15,101,10,26,0,10
motointel,com.motointel.app.imports,CsvImportService.UpsertResult,0,9,0,0,0,1,0,1,0,1
motointel,com.motointel.app.imports,ParsedRow,0,67,1,3,0,4,1,3,0,2
motointel,com.motointel.app.imports,CsvContract,0,69,0,0,0,3,0,1,0,1
motointel,com.motointel.app.imports,CsvParseResult,0,9,0,0,0,1,0,1,0,1
motointel,com.motointel.app.imports,CsvImportService,105,547,18,20,14,119,16,17,2,12
motointel,com.motointel.app.market,MarketService,352,0,8,0,53,0,22,0,18,0
motointel,com.motointel.app.common,ApiError,30,0,2,0,3,0,4,0,3,0
motointel,com.motointel.app.common,ApiException,35,23,1,1,6,6,7,2,6,2
motointel,com.motointel.app.common,GlobalExceptionHandler,81,0,2,0,17,0,8,0,7,0
motointel,com.motointel.app.common,PageMeta,22,0,0,0,2,0,2,0,2,0
motointel,com.motointel.app.common,ApiResponse,39,0,0,0,4,0,4,0,4,0
motointel,com.motointel.app.domain,ListingPriceHistory,12,19,0,0,4,5,4,5,4,5
motointel,com.motointel.app.domain,CatalogSourcePage,31,0,0,0,9,0,9,0,9,0
motointel,com.motointel.app.domain,MotorcycleModel,21,31,0,0,6,9,6,9,6,9
motointel,com.motointel.app.domain,MatchCandidate,10,35,0,0,3,10,3,10,3,10
motointel,com.motointel.app.domain,MarketSource,66,0,0,0,19,0,19,0,19,0
motointel,com.motointel.app.domain,IngestionJobError,45,0,0,0,13,0,13,0,13,0
motointel,com.motointel.app.domain,ListingStatusHistory,9,15,0,0,3,4,3,4,3,4
motointel,com.motointel.app.domain,ListingModelMatch,12,47,0,0,4,13,4,13,4,13
motointel,com.motointel.app.domain,ModelAlias,3,21,0,0,1,6,1,6,1,6
motointel,com.motointel.app.domain,MotorcycleSpec,91,17,0,0,26,5,26,5,26,5
motointel,com.motointel.app.domain,CatalogSourceSnapshot,38,0,0,0,11,0,11,0,11,0
motointel,com.motointel.app.domain,MarketListingSnapshot,12,19,0,0,4,5,4,5,4,5
motointel,com.motointel.app.domain,MotorcycleImage,38,0,0,0,11,0,11,0,11,0
motointel,com.motointel.app.domain,MarketSearchQuery,24,0,0,0,7,0,7,0,7,0
motointel,com.motointel.app.domain,IngestionJob,56,31,0,0,17,8,17,8,17,8
motointel,com.motointel.app.domain,SpecEvidence,31,0,0,0,9,0,9,0,9,0
motointel,com.motointel.app.domain,MarketListing,52,105,0,0,17,28,17,28,17,28
motointel,com.motointel.app.domain,CatalogSource,66,0,0,0,19,0,19,0,19,0
motointel,com.motointel.app.domain,Manufacturer,24,0,0,0,7,0,7,0,7,0
